,situacao,anoConclusaoEnsinoMedio,chIntegralizadaMatriculada,chintegralizadaACE,chintegralizadaAF,chintegralizadaCF,chintegralizadaObrigatoria,chintegralizadaOptativa,chintegralizadaTotal,fracaoChIntegralizadaTotal,cidade,formaIngInstituicao,ira,sexo,tempoUniversidade,Cancelado,Reprovado por frequência,Reprovado por nota,DEC013_nota,DEE341_nota,DEE346_nota,DEE374_nota,DEE375_nota,DEC008_nota,DEC012_nota,DEC219_nota,DEE238_nota,DEE338_nota,DEE342_nota,DEE344_nota,DEE345_nota,DEC009_nota,DEC014_nota,DEC220_nota,DEE239_nota,DEE347_nota,DEE349_nota,DEE351_nota,DEE358_nota,DEE245_nota,DEE352_nota,DEE359_nota,DEE360_nota,DEC013_freq,DEE341_freq,DEE346_freq,DEE374_freq,DEE375_freq,DEC008_freq,DEC012_freq,DEC219_freq,DEE238_freq,DEE338_freq,DEE342_freq,DEE344_freq,DEE345_freq,DEC009_freq,DEC014_freq,DEC220_freq,DEE239_freq,DEE347_freq,DEE349_freq,DEE351_freq,DEE358_freq,DEE245_freq,DEE352_freq,DEE359_freq,DEE360_freq
13,1,2018,0,0,0,0,0,0,0,0.0,Palotina,Vestibular,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,2021,840,0,0,0,555,0,555,17.3,Palotina,SISU,0.4936,0,4.0,0.0,5.0,3.0,74.0,62.0,89.0,50.0,32.0,40.0,9.0,0.0,3.0,18.0,50.0,52.0,33.0,0.0,0.0,0.0,0.0,73.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,94.0,94.0,97.0,54.0,37.0,0.0,94.0,48.5,100.0,94.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0
15,1,2015,0,0,0,0,0,0,0,0.0,Palotina,Vestibular,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,555,0,0,0,240,0,240,7.5,Palotina,SISU,0.3487,0,4.0,1.0,3.0,10.0,23.0,9.0,22.0,21.0,40.0,80.0,57.0,0.0,0.0,0.0,15.0,60.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,71.5,100.0,87.0,100.0,87.0,87.0,94.0,0.0,90.0,48.5,47.0,94.0,10.0,0.0,84.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0
17,1,0,0,0,0,0,0,0,0,0.0,Marechal Cândido Rondon,SISU,0.0063,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,2019,0,0,0,0,0,0,0,0.0,Palotina,Vestibular,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1,2017,0,0,0,0,0,0,0,0.0,Maripá,Vestibular,0.0981,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,2019,780,0,0,0,555,0,555,17.3,Marechal Cândido Rondon,Vestibular,0.4827,0,8.0,4.0,12.0,2.0,41.0,85.0,36.0,8.5,85.0,85.0,7.666666666666667,0.0,0.0,17.666666666666668,80.0,70.0,11.5,90.0,0.0,0.0,0.0,71.0,70.0,29.0,0.0,0.0,70.0,0.0,0.0,44.66666666666666,90.0,36.66666666666666,33.5,87.0,100.0,40.333333333333336,0.0,54.0,53.333333333333336,90.0,94.0,10.5,90.0,0.0,0.0,0.0,87.0,100.0,74.0,0.0,0.0,94.0,0.0,0.0
21,0,2018,30,0,0,0,0,0,0,0.0,Palotina,PSS ENEM,0.0063,0,2.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,67.0,40.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,0,1860,0,0,0,1830,30,1860,57.9,Palotina,SISU,0.0,0,10.0,3.0,0.0,2.0,74.0,0.0,94.0,91.0,95.0,70.0,87.0,0.0,59.0,83.0,90.0,0.0,0.0,0.0,83.0,0.0,70.0,78.0,63.0,0.0,90.0,77.0,85.0,0.0,87.0,100.0,0.0,100.0,100.0,100.0,83.0,100.0,0.0,88.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,96.0,0.0,97.0,100.0,100.0,0.0,95.0
